ID_NUMBER,ACTIVITY_LOCATION,NAICS_CODE
ALR000008474,AL    ,92411
ALR000006015,AL    ,333112
ALR000035014,AL    ,541921
ALD983169764,AL    ,446110
ALD983169459,AL    ,811111
ALD000814301,AL    ,313111
ALR000018671,AL    ,811111
ALR000018739,AL    ,32741
ALR000002626,AL    ,48833
ALD981747991,AL    ,44111
ALR000003384,AL    ,453998
ALD981472517,AL    ,81131
ALD062458468,AL    ,81232
ALR000049957,AL    ,81131
AL0000029355,AL    ,32311
ALR000040840,AL    ,23832
ALD983180191,AL    ,42183
ALR000000232,AL    ,44132
ALR000012591,AL    ,42361
ALD983183039,AL    ,332994
ALR000014449,AL    ,42146
ALR000031047,AL    ,32615
ALR000045708,AL    ,62423
